same_month_brand,month_day_numOfTimes_reached_top4
McDonald's,26379
Walmart,21784
Starbucks,10007
Chick-fil-A,8517
Target,8350
Dunkin',4383
Walgreens,3358
Shell Oil,3140
Publix Super Markets,2800
Kroger,1930
