same_day_brand,same_day_numOfTimes_reached_top4
McDonald's,19293
Walmart,17504
Starbucks,9767
Target,8621
Chick-fil-A,5722
Dunkin',3556
Shell Oil,2575
Wawa,2265
7-Eleven,1790
Walgreens,1741
