latitude,longitude,same_month_top_rank,same_month_brand,month_%_value
39.416484,-77.437964,2,Walmart,59
26.283488,-80.202644,1,Walmart,59
26.283488,-80.202644,2,McDonald's,53
26.283488,-80.202644,3,Target,44
26.283488,-80.202644,4,Publix Super Markets,43
39.764487,-89.704356,2,McDonald's,70
39.764487,-89.704356,3,Walmart,66
38.947407,-92.300055,1,Walmart,71
38.947407,-92.300055,2,McDonald's,56
39.204021,-84.368016,1,Kroger,58
39.204021,-84.368016,2,McDonald's,53
39.204021,-84.368016,4,Target,43
40.622072,-74.026709,1,McDonald's,43
40.622072,-74.026709,2,Dunkin',40
40.622072,-74.026709,3,Starbucks,32
40.27354,-111.678715,1,Walmart,67
40.27354,-111.678715,2,McDonald's,45
39.845579,-84.192831,1,McDonald's,73
39.845579,-84.192831,3,Walmart,65
39.845579,-84.192831,4,Kroger,57
42.171623,-88.335883,1,McDonald's,59
42.171623,-88.335883,2,Starbucks,46
42.171623,-88.335883,3,Walmart,43
42.171623,-88.335883,4,Target,41
41.551196,-87.180865,1,McDonald's,68
41.551196,-87.180865,2,Walmart,64
29.546262,-95.750284,4,Shell Oil,63
41.373959,-83.624627,1,McDonald's,64
41.373959,-83.624627,2,Walmart,56
41.373959,-83.624627,3,Starbucks,46
41.373959,-83.624627,4,Kroger,42
30.141237,-81.546351,1,Walmart,58
30.141237,-81.546351,3,Publix Super Markets,56
30.141237,-81.546351,4,Shell Oil,55
30.141237,-81.546351,1,Walmart,60
30.141237,-81.546351,2,Publix Super Markets,49
30.141237,-81.546351,3,McDonald's,47
30.141237,-81.546351,4,Shell Oil,46
47.705,-122.326616,2,Starbucks,47
47.705,-122.326616,4,McDonald's,32
26.648224,-80.146188,1,Walmart,61
26.648224,-80.146188,2,McDonald's,51
26.648224,-80.146188,3,Publix Super Markets,42
26.648224,-80.146188,4,Dunkin',38
33.882403,-84.010515,2,Walmart,63
33.882403,-84.010515,3,Chick-fil-A,62
33.882403,-84.010515,4,McDonald's,60
41.758677,-87.94432,2,Target,42
41.758677,-87.94432,3,McDonald's,39
41.758677,-87.94432,4,Walgreens,35
42.011392,-87.762841,1,McDonald's,64
42.011392,-87.762841,2,Starbucks,50
42.011392,-87.762841,3,Target,47
42.011392,-87.762841,4,Walmart,42
45.303136,-122.766208,1,Starbucks,65
45.303136,-122.766208,2,McDonald's,62
45.303136,-122.766208,3,Target,61
38.851175,-94.817544,1,Walmart,74
38.851175,-94.817544,2,McDonald's,71
38.851175,-94.817544,4,Target,50
39.153228,-77.066173,1,McDonald's,68
39.153228,-77.066173,2,Chick-fil-A,50
39.153228,-77.066173,3,Starbucks,44
35.830609,-83.572937,1,Walmart,69
35.830609,-83.572937,2,McDonald's,65
35.830609,-83.572937,3,Chick-fil-A,51
35.830609,-83.572937,4,Shell Oil,51
41.920557,-88.265905,1,Target,58
41.920557,-88.265905,2,McDonald's,55
41.920557,-88.265905,3,Starbucks,44
41.920557,-88.265905,4,Walmart,41
40.139536,-74.060895,1,Starbucks,40
40.139536,-74.060895,3,Target,34
40.139536,-74.060895,4,Dunkin',32
28.66124,-81.396683,1,McDonald's,60
28.66124,-81.396683,2,Chick-fil-A,55
28.66124,-81.396683,3,Walmart,52
36.144763,-115.297403,2,McDonald's,58
36.144763,-115.297403,3,Starbucks,58
36.144763,-115.297403,4,Walmart,45
30.173647,-81.627796,1,Walmart,57
30.173647,-81.627796,2,Publix Super Markets,51
30.173647,-81.627796,3,McDonald's,51
30.173647,-81.627796,4,Chick-fil-A,50
42.744038,-71.156588,1,McDonald's,59
42.744038,-71.156588,3,Dunkin',47
40.540914,-74.366081,1,Dunkin',45
40.540914,-74.366081,3,Walmart,33
40.540914,-74.366081,4,Starbucks,31
41.251005,-81.36344,1,Walmart,100
34.242669,-77.828314,1,Chick-fil-A,61
34.242669,-77.828314,2,Walmart,56
34.242669,-77.828314,3,McDonald's,51
34.242669,-77.828314,4,Starbucks,41
40.038366,-82.429939,1,Kroger,55
40.038366,-82.429939,2,Walmart,53
40.038366,-82.429939,3,McDonald's,52
39.260603,-84.79342,1,McDonald's,71
39.260603,-84.79342,4,Shell Oil,57
30.482037,-90.459484,1,Walmart,79
30.482037,-90.459484,3,McDonald's,61
28.514251,-81.311075,1,Walmart,74
28.514251,-81.311075,2,McDonald's,64
38.652783,-77.286052,1,McDonald's,60
38.652783,-77.286052,2,Walmart,53
38.652783,-77.286052,3,Chick-fil-A,50
38.652783,-77.286052,4,Target,49
35.348785,-80.857777,1,Chick-fil-A,55
35.348785,-80.857777,2,McDonald's,53
35.348785,-80.857777,3,Walmart,52
29.7797,-94.977222,1,Walmart,74
29.7797,-94.977222,2,McDonald's,65
29.7797,-94.977222,4,Chick-fil-A,49
39.854879,-82.825124,1,McDonald's,62
39.854879,-82.825124,2,Walmart,59
39.854879,-82.825124,3,Kroger,52
41.868009,-87.64108,1,McDonald's,47
41.868009,-87.64108,2,Starbucks,41
41.868009,-87.64108,3,Walgreens,37
41.868009,-87.64108,4,Dunkin',33
39.969946,-74.914134,2,Chick-fil-A,50
39.969946,-74.914134,3,Target,48
39.969946,-74.914134,4,Walmart,48
41.801637,-88.172366,1,McDonald's,53
41.801637,-88.172366,2,Starbucks,48
41.801637,-88.172366,3,Walgreens,41
41.801637,-88.172366,4,Walmart,36
41.801637,-88.172366,1,Target,55
41.801637,-88.172366,2,McDonald's,51
41.801637,-88.172366,3,Starbucks,43
28.332102,-81.532711,1,Walmart,59
28.332102,-81.532711,3,Publix Super Markets,47
28.332102,-81.532711,4,McDonald's,42
41.462861,-81.480623,1,Starbucks,59
41.462861,-81.480623,2,McDonald's,50
41.462861,-81.480623,3,Target,47
41.945739,-87.709057,1,McDonald's,48
41.945739,-87.709057,2,Target,45
41.945739,-87.709057,4,Walgreens,39
26.25412,-81.800212,1,Walmart,43
26.25412,-81.800212,2,McDonald's,41
26.25412,-81.800212,3,Target,41
26.25412,-81.800212,4,Starbucks,39
39.186788,-75.536508,1,Walmart,59
39.186788,-75.536508,3,Chick-fil-A,45
39.186788,-75.536508,4,McDonald's,39
28.063605,-82.503362,1,Walmart,57
28.063605,-82.503362,2,McDonald's,51
28.063605,-82.503362,3,Publix Super Markets,49
28.063605,-82.503362,4,Chick-fil-A,45
42.626401,-82.987868,1,McDonald's,54
42.626401,-82.987868,2,Kroger,38
42.626401,-82.987868,3,Target,33
30.101665,-81.715514,1,Walmart,63
30.101665,-81.715514,2,McDonald's,57
30.101665,-81.715514,3,Shell Oil,49
30.101665,-81.715514,4,Chick-fil-A,44
40.580844,-83.083076,1,McDonald's,72
40.580844,-83.083076,2,Walmart,71
38.963517,-94.665848,2,McDonald's,56
38.963517,-94.665848,3,Walmart,54
34.793535,-92.400394,1,Walmart,64
34.793535,-92.400394,2,Chick-fil-A,57
34.793535,-92.400394,3,Kroger,53
28.593631,-81.365321,1,Walmart,45
28.593631,-81.365321,2,Chick-fil-A,45
28.593631,-81.365321,3,McDonald's,45
28.593631,-81.365321,4,Publix Super Markets,43
42.295414,-85.655212,1,McDonald's,66
42.295414,-85.655212,3,Shell Oil,49
42.295414,-85.655212,4,Walmart,45
45.534179,-122.658355,1,McDonald's,58
45.534179,-122.658355,2,Starbucks,48
39.087094,-84.477958,1,Kroger,69
39.087094,-84.477958,2,McDonald's,44
39.087094,-84.477958,3,Chick-fil-A,42
39.087094,-84.477958,4,Target,38
37.678717,-97.245015,1,Walmart,63
37.678717,-97.245015,3,McDonald's,53
41.562531,-93.799381,1,Walmart,56
41.562531,-93.799381,4,Target,43
29.660793,-95.719386,2,Chick-fil-A,50
29.660793,-95.719386,3,Shell Oil,49
29.660793,-95.719386,4,Starbucks,46
29.768399,-95.624127,1,Walmart,51
29.768399,-95.624127,2,Shell Oil,42
29.768399,-95.624127,3,Chick-fil-A,41
29.768399,-95.624127,4,Starbucks,40
38.897572,-77.443539,1,Walmart,56
38.897572,-77.443539,2,Chick-fil-A,51
38.897572,-77.443539,3,McDonald's,49
41.469078,-87.030094,1,McDonald's,58
41.469078,-87.030094,3,Walmart,54
41.469078,-87.030094,4,Target,43
41.513428,-72.106965,1,Walmart,61
41.513428,-72.106965,2,McDonald's,52
41.513428,-72.106965,3,Dunkin',48
38.932156,-76.996472,1,Starbucks,47
38.932156,-76.996472,2,McDonald's,47
38.932156,-76.996472,4,Walmart,35
41.848465,-87.932279,1,McDonald's,47
41.848465,-87.932279,2,Walgreens,39
41.848465,-87.932279,3,Starbucks,38
42.015356,-71.231638,1,Dunkin',66
42.015356,-71.231638,2,Target,45
26.006785,-80.35632,1,Walmart,52
26.006785,-80.35632,2,McDonald's,46
26.006785,-80.35632,3,Starbucks,40
26.006785,-80.35632,4,Publix Super Markets,37
39.381038,-84.54915,1,McDonald's,83
39.381038,-84.54915,2,Walmart,72
39.381038,-84.54915,3,Kroger,68
